,,,,,,,,,,,CTDPH,2015 Based Population Forecasts,,,
TAZ,Town,TDM #,Town #,County,CIPP,COG,COG #,MPO,MPO #,,2015,2020,2030,2040,2050
1,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1593,1603,1623,1643,1662
2,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2151,2165,2192,2219,2245
3,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,4092,4119,4170,4221,4271
4,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1700,1711,1733,1754,1774
5,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2732,2750,2784,2818,2852
6,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2428,2444,2474,2504,2534
7,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,3234,3254,3295,3335,3375
8,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2230,2244,2273,2300,2327
9,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1957,1969,1994,2018,2042
10,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2335,2350,2379,2408,2437
11,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2184,2198,2226,2253,2279
12,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2829,2847,2883,2918,2952
13,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2541,2557,2589,2621,2651
14,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2586,2602,2635,2667,2699
15,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1491,1501,1520,1538,1556
16,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,3903,3928,3977,4025,4073
17,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2217,2231,2259,2286,2313
18,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2799,2817,2852,2887,2921
19,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1482,1492,1510,1529,1547
20,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,338,340,345,349,353
21,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,3668,3692,3738,3783,3828
22,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,634,638,646,654,662
23,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1891,1903,1927,1950,1973
24,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,802,807,817,827,836
25,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2870,2888,2924,2960,2995
26,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,3264,3285,3327,3367,3407
27,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2744,2761,2796,2830,2863
28,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3874,3976,4178,4376,4570
29,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3180,3264,3429,3591,3751
30,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,4452,4570,4801,5029,5252
31,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3768,3868,4064,4256,4445
32,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,5145,5280,5548,5811,6069
33,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,5204,5341,5612,5877,6138
34,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,1803,1851,1945,2037,2127
35,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,2770,2843,2987,3128,3267
36,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3580,3674,3861,4043,4223
37,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,2699,2771,2911,3049,3184
38,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,2357,2419,2542,2662,2780
39,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3381,3471,3647,3819,3989
40,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,6575,6748,7090,7426,7756
41,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,4380,4495,4723,4947,5166
42,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,7728,7931,8334,8728,9116
43,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,2157,2214,2326,2437,2545
44,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,1392,1429,1502,1573,1642
45,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,2696,2767,2908,3045,3181
46,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3927,4030,4235,4435,4632
47,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,1391,1428,1500,1571,1641
48,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,5639,5787,6081,6368,6651
49,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,2163,2220,2332,2442,2551
50,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3893,3996,4199,4397,4593
51,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3348,3436,3610,3781,3949
52,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,4358,4473,4699,4922,5140
53,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3244,3329,3498,3664,3827
54,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3177,3260,3426,3588,3747
55,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,2305,2366,2486,2604,2720
56,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,4092,4200,4413,4621,4827
57,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,1752,1798,1889,1978,2066
58,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3629,3725,3914,4099,4281
59,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,1238,1271,1335,1398,1460
60,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3965,4069,4276,4478,4677
61,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3622,3718,3906,4091,4273
62,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,2512,2579,2709,2838,2964
63,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,3098,3179,3341,3499,3654
64,Stamford,2,135,Fairfield,118,WestCOG,1,SWRMPO,1,,4380,4495,4723,4947,5166
65,New Canaan,3,89,Fairfield,110,WestCOG,1,SWRMPO,1,,2240,2275,2344,2411,2477
66,New Canaan,3,89,Fairfield,110,WestCOG,1,SWRMPO,1,,1828,1857,1913,1967,2021
67,New Canaan,3,89,Fairfield,110,WestCOG,1,SWRMPO,1,,994,1009,1039,1069,1098
68,New Canaan,3,89,Fairfield,110,WestCOG,1,SWRMPO,1,,3760,3818,3933,4046,4157
69,New Canaan,3,89,Fairfield,110,WestCOG,1,SWRMPO,1,,1683,1710,1761,1811,1861
70,New Canaan,3,89,Fairfield,110,WestCOG,1,SWRMPO,1,,2917,2962,3051,3139,3225
71,New Canaan,3,89,Fairfield,110,WestCOG,1,SWRMPO,1,,1953,1983,2043,2102,2159
72,New Canaan,3,89,Fairfield,110,WestCOG,1,SWRMPO,1,,2344,2380,2452,2522,2591
73,New Canaan,3,89,Fairfield,110,WestCOG,1,SWRMPO,1,,2668,2709,2791,2871,2950
74,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,1517,1542,1593,1643,1693
75,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2706,2752,2844,2933,3021
76,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2418,2460,2541,2621,2699
77,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2350,2390,2469,2547,2623
78,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,1388,1412,1459,1505,1550
79,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2626,2671,2760,2846,2932
80,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,1783,1814,1874,1933,1991
81,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2407,2447,2529,2608,2686
82,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,3308,3365,3476,3586,3693
83,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,1284,1306,1349,1392,1434
84,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,3339,3391,3493,3594,3693
85,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2125,2158,2224,2288,2351
86,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2644,2685,2767,2846,2925
87,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1223,1242,1280,1316,1353
88,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2620,2661,2742,2821,2898
89,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2541,2580,2658,2735,2810
90,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2172,2206,2272,2338,2402
91,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2206,2240,2308,2375,2440
92,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2077,2109,2173,2235,2297
93,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2666,2707,2789,2870,2949
94,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2590,2631,2710,2789,2865
95,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,4768,4843,4989,5133,5274
96,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,504,512,528,543,558
97,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1645,1670,1721,1770,1819
98,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,4549,4620,4760,4897,5032
99,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1470,1493,1538,1582,1626
100,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,3323,3375,3477,3577,3676
101,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1709,1735,1788,1839,1890
102,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1604,1629,1679,1727,1774
103,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2204,2238,2306,2372,2438
104,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2752,2794,2879,2962,3044
105,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1027,1044,1075,1106,1137
