Geo,GeoID,county,PopTotal,PopHispanicLatino,PopWhite,PopBlack,PopAmericanIndianAlaskan,PopAsian,PopNativeHawaiianOtherPacific,PopOtherRaceAlone,PopTwoOrMoreRaces,Pop18AndOver,Pop18AndOverHispanicLatino,Pop18AndOverWhite,Pop18AndOverBlack,Pop18AndOverAmericanIndianAlaskan,Pop18AndOverAsian,Pop18AndOverNativeHawaiianOtherPacific,Pop18AndOverOtherRaceAlone,Pop18AndOverTwoOrMoreRaces,HousingUnits,HousingUnitsOccupied,HousingUnitsVacant
Bethel,0900104720,Fairfield County,20358,2622,14409,565,19,1213,1,406,1123,15901,1715,11801,412,15,913,0,299,746,7980,7653,327
Bridgeport,0900108070,Fairfield County,148654,62853,24404,48690,228,4024,31,2938,5486,113716,44748,21983,37393,170,3243,23,2119,4037,58874,54261,4613
Brookfield,0900108980,Fairfield County,17528,1470,13785,299,11,946,3,179,835,13824,936,11279,227,5,706,3,135,533,7116,6695,421
Danbury,0900118500,Fairfield County,86518,28690,37963,5630,70,5339,25,2980,5821,68248,20168,32880,4452,58,4308,25,2148,4209,33562,31762,1800
Darien,0900118850,Fairfield County,21499,1234,18016,148,17,1197,4,88,795,14668,797,12506,112,13,821,4,50,365,7265,6814,451
Easton,0900123890,Fairfield County,7605,444,6408,106,6,328,1,34,278,5790,289,4989,80,2,251,1,31,147,2756,2605,151
Fairfield,0900126620,Fairfield County,61512,4806,50035,1110,23,2906,5,418,2209,47703,3406,39775,860,14,2154,3,296,1195,21982,20820,1162
Greenwich,0900133620,Fairfield County,63518,8135,45877,1157,33,4726,15,606,2969,47939,5654,35737,906,26,3576,13,440,1587,25677,23316,2361
Monroe,0900148620,Fairfield County,18825,1470,15548,400,20,660,0,89,638,14549,975,12374,293,20,477,0,61,349,6918,6690,228
New Canaan,0900150580,Fairfield County,20622,1121,17169,244,6,1159,4,88,831,14574,685,12518,160,6,809,4,49,343,7502,6923,579
New Fairfield,0900150860,Fairfield County,13579,1201,11438,153,11,230,3,98,445,10729,765,9314,111,8,207,3,72,249,5635,4948,687
Newtown,0900152980,Fairfield County,27173,1757,22950,592,12,734,10,136,982,21295,1184,18360,498,12,583,9,93,556,10322,9766,556
Norwalk,0900156060,Fairfield County,91184,27629,44314,11074,102,4772,14,652,2627,72682,19680,38163,8760,77,3900,11,411,1680,38152,36078,2074
Redding,0900163480,Fairfield County,8765,465,7580,75,11,243,2,59,330,6918,287,6166,55,11,191,2,34,172,3664,3356,308
Ridgefield,0900163970,Fairfield County,25033,1506,20956,214,22,1261,3,156,915,18659,932,16081,181,15,890,3,105,452,9506,8968,538
Shelton,0900168170,Fairfield County,40869,4080,31701,1812,30,1800,11,287,1148,33739,2799,27176,1335,16,1429,9,215,760,17174,16356,818
Sherman,0900168310,Fairfield County,3527,159,3149,25,1,51,0,6,136,2925,102,2674,24,0,32,0,6,87,1834,1425,409
Stamford,0900173070,Fairfield County,135470,37958,64876,16201,140,11453,22,1018,3802,108715,27527,55873,12819,96,9252,17,684,2447,56953,53241,3712
Stratford,0900174190,Fairfield County,52355,11107,28407,9136,53,1310,11,412,1919,41976,7644,24771,6895,32,1059,11,319,1245,21643,20435,1208
Trumbull,0900177200,Fairfield County,36827,3505,27652,1642,22,2509,1,277,1219,27767,2237,21769,1148,21,1728,1,182,681,13159,12622,537
Weston,0900183430,Fairfield County,10354,631,8443,143,3,575,3,75,481,7470,375,6300,105,1,409,2,41,237,3671,3420,251
Westport,0900183500,Fairfield County,27141,1592,22169,375,15,1703,0,152,1135,19943,1009,16800,267,10,1245,0,83,529,10567,9720,847
Wilton,0900186370,Fairfield County,18503,916,14876,201,3,1612,4,78,813,13440,579,11177,151,2,1086,4,58,383,6567,6210,357
Avon,0900302060,Hartford County,18932,916,14431,396,24,2318,3,84,760,14584,584,11690,277,18,1564,3,62,386,7713,7260,453
Berlin,0900304300,Hartford County,20175,1115,17469,251,9,669,1,64,597,16467,747,14564,194,4,550,1,44,363,8571,8264,307
Bloomfield,0900305910,Hartford County,21535,1697,6927,11434,41,476,3,144,813,18232,1233,6506,9314,31,415,3,116,614,9717,9125,592
Bristol,0900308490,Hartford County,60833,9935,43296,3109,64,1542,11,272,2604,48804,6359,37026,2350,47,1224,8,181,1609,27251,25721,1530
Burlington,0900310100,Hartford County,9519,378,8449,59,4,170,0,50,409,7424,258,6724,39,4,131,0,31,237,3628,3484,144
Canton,0900312270,Hartford County,10124,413,8980,142,14,197,0,30,348,7992,260,7255,101,8,145,0,20,203,4383,4194,189
East Granby,0900322070,Hartford County,5214,280,4320,145,9,266,0,10,184,4047,173,3463,108,9,192,0,7,95,2183,2075,108
East Hartford,0900322630,Hartford County,51045,17114,15391,14104,100,2282,3,398,1653,39641,11821,14004,10550,87,1855,3,278,1043,21361,20162,1199
East Windsor,0900324800,Hartford County,11190,1010,8145,690,16,748,0,68,513,9356,651,7203,516,7,590,0,56,333,5348,4996,352
Enfield,0900325990,Hartford County,42141,4185,32261,2699,73,1025,9,162,1727,34582,2891,27336,2251,47,798,9,110,1140,17741,16858,883
Farmington,0900327600,Hartford County,26712,1527,19425,822,16,3855,4,99,964,21177,992,16249,622,10,2677,3,71,553,11667,11045,622
Glastonbury,0900331240,Hartford County,35159,2194,27319,842,28,3340,3,173,1260,27436,1413,22109,634,18,2418,3,127,714,14481,13799,682
Granby,0900332640,Hartford County,10903,424,9719,107,24,158,10,25,436,8552,231,7826,85,17,108,6,15,264,4448,4233,215
Hartford,0900337070,Hartford County,121054,53315,15278,43024,262,4208,34,1411,3522,93051,38477,14056,33207,215,3435,27,1013,2621,53259,47112,6147
Hartland,0900337140,Hartford County,1901,35,1744,14,7,13,0,8,80,1554,23,1432,14,6,12,0,7,60,843,768,75
Manchester,0900344700,Hartford County,59713,10325,31454,8832,144,6249,15,391,2303,47608,6861,27809,6309,101,4805,11,263,1449,26445,25108,1337
Marlborough,0900345820,Hartford County,6133,299,5451,60,6,85,0,30,202,4867,205,4402,49,6,70,0,24,111,2388,2294,94
New Britain,0900350440,Hartford County,74135,32620,27535,9294,74,1884,27,478,2223,57585,22323,24492,7339,40,1554,20,396,1421,31510,29054,2456
Newington,0900352140,Hartford County,30536,3585,22190,1369,18,2236,5,183,950,24977,2449,19030,1044,15,1746,2,128,563,13219,12771,448
Plainville,0900360120,Hartford County,17525,1898,13911,489,25,490,4,69,639,14479,1317,11859,416,20,400,3,37,427,8045,7710,335
Rocky Hill,0900365370,Hartford County,20845,1340,14150,728,32,3997,0,74,524,16891,967,12185,605,15,2710,0,38,371,9319,8789,530
Simsbury,0900368940,Hartford County,24517,1335,20341,516,13,1284,3,94,931,18850,823,16173,366,6,938,3,75,466,10057,9583,474
Southington,0900370550,Hartford County,43501,2417,37549,609,26,1386,6,123,1385,34800,1553,30822,475,20,1043,4,93,790,18145,17440,705
