V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,CASENO
0,21,1,19,0,1,10,3,1,4,3,4,5,6,3,4,6,5,4,6,5,4,5,5,4,3,6,5,6,4,3,4,3,1,1,3,1,3,1,4,5,3,5,4,2,3,4,1,3,2,5,4,6,6,5,4,4,5,4,5,2,5,5,2,4,5,4,4,69,1,1,5,0,0,0,0,0,1,0,0,0,1,0,0,2,7,5,3,,1,2,1,2,3,3,3,3,3,1
1,22,1,14,2,0,0,3,1,5,1,1,6,6,1,5,3,4,5,5,4,5,3,6,6,4,5,4,5,3,3,3,3,1,2,2,1,2,2,2,5,3,4,4,2,2,4,4,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,2,4,5,4,5,23,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,,2,1,1,1,3,3,3,3,3,2
1,32,0,13,2,1,24,3,4,6,1,6,6,6,1,6,1,1,6,6,6,1,6,5,6,1,6,6,6,1,2,2,1,1,2,1,1,2,2,6,6,6,4,6,4,2,6,2,6,2,6,6,6,6,6,1,1,1,1,1,1,1,4,6,1,1,1,2,64,0,1,2,0,0,1,1,1,1,0,0,1,1,0,0,3,5,1,5,,1,1,1,1,3,1,3,2,1,3
1,23,1,11,1,1,20,3,1,2,6,1,6,6,1,1,6,4,1,4,6,2,1,2,2,1,2,2,6,3,5,3,3,1,2,3,1,2,1,2,6,2,5,3,4,1,2,2,5,1,4,2,5,6,4,2,6,5,4,3,6,5,6,4,5,2,5,2,55,1,1,7,0,1,0,1,0,1,0,0,0,0,0,0,1,8,6,1,lutheran,2,2,2,1,2,2,3,3,3,4
1,21,0,7,0,1,13,2,2,2,5,1,5,6,2,1,6,6,5,6,4,5,5,2,2,2,2,2,5,5,4,5,3,1,1,2,1,1,1,4,5,3,4,5,5,4,5,4,5,2,6,4,2,4,6,5,2,4,4,4,2,4,4,2,4,4,4,4,50,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,1,,1,1,1,1,3,3,3,3,3,5
1,27,1,19,1,2,0,2,3,4,6,2,6,6,3,3,5,5,4,6,6,5,4,6,5,3,5,4,5,2,2,2,2,1,3,2,1,1,1,5,5,5,5,5,5,5,5,5,4,3,5,5,4,5,5,4,4,5,3,4,3,5,5,3,2,4,5,3,27,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,2,8,1,1,episcopal,2,1,1,1,3,3,3,3,3,6
1,16,0,8,1,0,23,3,2,2,5,5,5,6,1,1,6,4,5,6,5,6,3,5,4,1,5,4,5,3,4,4,3,1,2,3,1,2,1,4,6,4,5,5,4,4,5,3,5,2,4,5,4,6,5,5,4,5,4,6,4,6,6,6,5,6,4,6,59,1,1,3,0,0,0,1,0,1,0,0,0,0,0,1,2,8,4,1,METHODIST,2,1,1,3,2,3,3,3,2,7
1,15,0,20,1,0,20,3,4,6,2,5,6,6,2,5,4,5,6,5,5,2,6,5,5,5,5,5,2,2,2,2,2,2,1,2,2,2,2,5,5,5,5,5,2,5,5,2,3,5,5,5,2,5,5,6,5,5,5,5,4,5,6,5,6,6,5,5,58,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,,5,5,5,,1,2,1,1,3,3,3,3,3,8
1,32,0,20,1,1,0,3,4,4,3,4,5,6,1,4,4,4,4,6,4,6,4,5,5,1,5,4,6,3,3,3,3,1,3,3,2,1,1,5,5,5,4,4,4,3,4,3,3,3,4,4,3,5,5,4,4,4,4,3,4,4,4,3,4,4,3,3,52,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,METHODIST,1,2,2,2,3,3,3,3,3,9
1,33,1,10,2,0,0,2,2,5,1,5,5,6,1,4,4,6,4,6,5,5,4,5,4,4,5,5,5,4,5,5,3,3,4,4,2,2,2,4,5,3,4,4,5,,4,5,4,3,4,4,2,4,5,4,3,4,3,5,3,5,5,2,5,6,4,5,41,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,1,,2,2,1,5,2,2,3,3,3,10
1,19,0,18,2,2,11,1,4,5,5,5,5,6,2,2,5,5,5,6,3,3,3,3,3,1,3,3,5,3,4,5,3,1,3,3,2,2,1,5,5,5,4,4,3,3,5,2,2,2,5,5,4,5,5,5,5,5,4,4,5,6,6,5,4,5,5,4,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,1,methodist,1,2,1,3,2,3,3,3,3,11
1,20,0,20,0,1,0,2,2,1,2,2,4,5,1,3,4,3,3,5,4,4,4,5,4,3,5,2,2,2,3,2,3,1,3,1,2,3,1,3,5,2,5,4,3,2,5,4,5,2,3,4,5,4,4,2,5,2,4,6,3,5,6,6,5,5,5,5,36,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,8,,1,,1,2,2,1,2,2,3,3,3,12
0,29,1,12,0,0,22,2,5,2,6,2,5,6,1,1,1,6,5,6,4,6,2,2,2,2,2,2,5,5,5,5,3,1,3,3,3,4,1,4,5,2,2,2,5,2,2,2,5,2,2,2,5,5,5,5,5,4,4,5,4,5,5,4,5,5,4,5,48,1,1,3,0,,0,,0,,0,,0,,0,,3,5,3,1,,2,2,1,1,2,2,2,2,2,13
1,18,1,20,2,2,19,2,3,5,4,6,6,6,2,2,5,5,6,6,5,3,5,3,2,2,2,3,5,5,5,4,2,1,3,3,2,4,2,4,6,5,4,4,5,4,5,4,5,3,4,5,3,5,4,4,6,6,2,5,4,5,6,4,5,5,5,5,68,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,LUTHERAN,2,2,1,1,3,3,3,3,3,14
1,19,1,14,0,1,18,2,1,5,5,5,5,6,1,5,2,4,5,5,5,5,5,6,6,6,6,6,2,1,2,1,2,1,2,2,2,1,1,5,5,5,5,5,5,4,5,5,2,2,5,5,2,5,5,2,4,3,2,2,4,5,2,5,2,5,2,2,8,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,,2,2,1,1,3,3,3,3,3,15
0,31,1,11,0,0,16,3,1,4,5,2,4,4,1,1,5,5,4,5,3,5,2,6,4,2,5,4,4,1,5,1,3,1,1,3,3,2,1,4,4,4,5,5,2,6,5,3,4,3,5,5,2,2,5,5,6,6,4,6,5,6,6,6,4,6,5,6,47,1,1,5,0,0,0,1,1,1,0,0,0,0,0,0,3,7,2,1,full gospel,1,1,1,1,3,3,3,3,3,16
1,16,1,19,1,1,0,3,6,3,6,1,5,6,4,1,1,6,3,6,4,3,4,5,4,4,4,4,5,4,4,4,3,1,4,3,1,2,1,5,6,3,4,4,6,2,6,3,4,4,4,4,4,5,6,4,4,5,5,6,6,6,6,6,6,6,4,6,19,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,3,9,2,1,baptist,2,2,1,5,3,2,3,2,3,17
1,19,0,12,2,0,0,2,1,4,1,4,5,6,1,1,6,6,5,6,6,1,5,5,5,1,5,4,5,2,6,2,3,1,3,1,1,4,1,4,6,5,5,4,6,5,5,1,6,1,1,5,4,6,5,3,4,4,6,6,6,4,6,1,6,6,2,6,56,1,1,3,0,0,0,1,0,1,0,0,0,0,0,0,4,5,4,1,,1,2,1,4,3,3,2,3,3,18
1,23,1,4,0,2,0,3,2,6,2,6,6,5,2,5,5,6,6,6,5,5,6,5,4,4,5,5,5,5,2,5,3,1,3,3,1,1,1,5,5,5,6,6,5,6,6,2,6,5,5,5,5,5,5,4,5,4,3,5,3,5,6,5,6,6,4,6,46,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,1,none,2,2,1,3,3,3,3,3,3,19
1,23,1,13,2,0,24,3,2,3,5,4,5,5,2,4,3,4,3,2,5,4,2,4,5,5,5,4,5,3,5,4,3,1,3,3,2,2,2,2,4,5,4,3,4,3,3,2,5,3,4,4,3,5,4,4,4,4,5,5,3,5,5,3,4,5,4,4,21,1,1,2,0,,0,,0,,0,,0,,0,,4,6,1,1,,2,2,2,3,3,3,3,3,3,20
1,23,1,10,0,1,21,1,1,5,5,6,5,6,1,6,4,5,6,6,5,4,5,6,6,1,6,6,6,2,3,3,3,2,2,2,1,1,1,6,6,6,6,5,5,5,5,5,6,2,5,5,5,6,6,4,5,5,5,6,5,6,5,5,5,6,4,6,29,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,5,7,5,1,methodist,2,2,1,1,3,2,2,3,2,21
1,18,1,13,1,1,19,3,5,5,2,3,5,4,2,4,4,4,4,5,4,2,2,5,4,5,5,5,4,2,2,3,2,1,4,3,3,2,1,3,5,5,6,5,2,3,5,4,3,2,4,5,5,4,5,5,5,6,1,6,1,5,6,5,5,5,5,5,26,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,1,baptist,1,2,1,1,3,3,3,3,3,22
1,19,1,11,0,1,0,3,5,5,4,5,5,6,1,2,4,5,5,6,4,5,6,5,5,5,5,5,4,2,2,1,2,1,4,2,2,2,2,5,5,5,5,4,2,3,5,2,3,2,5,5,3,3,5,5,5,6,5,6,6,6,6,6,5,6,5,6,36,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,1,baptist,1,1,1,3,2,2,3,3,3,23
0,18,1,19,0,2,0,2,3,5,4,5,6,6,3,2,6,6,5,6,6,2,5,6,6,4,6,6,5,2,6,2,2,1,4,4,1,1,1,5,6,5,5,4,6,3,5,4,5,2,4,5,5,6,6,5,6,5,5,6,6,5,1,6,6,6,4,6,74,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,4,christian,2,2,1,1,3,3,3,3,3,24
1,24,0,19,0,0,0,3,4,5,5,4,3,6,1,3,3,5,6,6,6,6,6,5,5,4,4,4,5,5,3,4,3,1,1,3,1,2,1,5,6,4,3,4,6,5,6,1,1,1,5,5,6,6,5,4,6,6,6,6,6,6,6,6,6,6,4,6,53,1,1,8,0,0,0,0,0,0,0,0,0,1,0,1,5,3,6,1,ch of christ,2,2,2,2,2,2,3,3,3,25
1,30,0,6,1,0,12,3,5,4,1,1,6,6,1,4,4,4,4,6,5,2,5,4,5,2,4,4,5,5,5,3,3,1,3,3,1,3,1,4,6,4,4,4,5,4,4,2,3,2,4,4,5,5,4,5,4,4,2,6,5,5,2,4,5,4,4,5,48,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,3,7,4,1,,1,2,1,3,2,2,1,2,3,26
1,31,1,12,0,1,0,1,5,5,4,6,4,6,6,2,5,5,5,6,4,2,5,5,5,5,6,4,5,2,5,2,3,1,3,2,2,1,1,4,5,5,5,4,4,6,6,5,3,4,5,6,5,6,6,5,5,6,2,6,6,5,6,5,5,6,4,6,68,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,2,7,5,2,,1,1,1,1,3,3,2,3,3,27
0,22,1,18,2,0,23,3,4,5,2,4,5,6,1,4,4,4,4,5,5,2,4,2,4,2,5,2,5,3,4,3,2,1,1,3,2,2,1,5,5,5,3,4,4,4,5,5,3,2,5,5,4,5,6,4,4,4,2,5,5,4,5,4,5,5,3,4,60,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,2,,1,2,1,1,3,3,3,3,3,28
