Region,Area,F_Total,F_Wood_firewood,F_Kerosene,F_LP_gas,F_Cow_dung,F_Bio_gas,F_Electricity,F_Others,F_Not_stated,L_Electricity,L_Kerosene,L_Bio_gas,L_Solar,L_Others,L_Not_stated,E_Without_any,E_At_least_one,E_Radio,E_TV,E_Cable_TV,E_Computer,E_Internet,E_Telephone,E_Mobile_phone,E_Motor,E_Motorcycle,E_Cycle,E_Other_vehicle,E_Fridge,E_Not_stated,H_Owned,H_Rented,H_Institutional,H_Other,W_Mud_bonded_bricks_stone,W_Cement_bonded_bricks_stone,W_Wood_planks,W_Bamboo,W_Unbaked_brick,W_Others,W_Not_stated,R_Thatch_straw,R_Galvanized_iron,R_Tile_slate,R_RCC,R_Wood_planks,R_Mud,R_Others,R_Not_stated,P_Total,P_1p,P_2p,P_3p,P_4p,P_5p,P_6p,P_7p,P_8p,P_9p_plus,A_Total,A_Absent_hh,A_Not_stated,V_Total,V_F_House_and_land,V_Land_only,V_Neither,V_Not_stated,L_Total,E_Total
Eastern,Taplejung,"26,471","25,287",128,849,5,63,2,6,131,"6,635","11,898",28,"7,424",355,131,"5,271","21,188","17,901","2,958","1,158",412,124,"1,103","15,560",14,73,34,8,17,12,"21,533","3,052",133,"1,753","21,952",820,"1,226","2,124",8,144,197,"16,128","8,725",144,362,413,2,519,178,"26,509","1,419","2,771","3,793","4,747","4,649","3,804","2,381","1,392","1,553","26,471","7,745",0,"26,471","2,503","2,710","21,175",83,"26,471","26,471"
Eastern,Panchthar,"41,176","37,916",330,"2,368",134,196,12,80,140,"11,474","16,278",298,"11,028","1,962",136,"8,212","32,730","26,253","4,768","1,858",623,235,940,"24,364",86,549,85,40,197,234,"36,413","4,016",230,517,"33,219","1,859","1,846","3,768",24,271,189,"21,404","17,521",248,803,231,1,766,202,"41,196","2,159","4,553","6,276","8,080","7,292","5,800","3,174","1,883","1,979","41,176","14,041",0,"41,176","2,864","3,674","34,475",163,"41,176","41,176"
Eastern,Ilam,"64,477","58,179",455,"3,775",108,"1,527",36,50,347,"42,261","14,875",440,"4,397","2,155",349,"7,127","56,719","43,263","24,788","4,810","1,651",467,"2,578","44,646",351,"2,147","3,822",124,523,631,"57,975","4,480",467,"1,555","32,325","6,195","12,541","11,568",158,"1,229",461,"8,369","52,221",406,"2,022",222,6,725,506,"64,502","2,423","6,531","11,390","15,423","12,196","8,406","3,866","2,149","2,118","64,477","16,846",0,"64,477","5,242","6,027","52,268",940,"64,477","64,477"
Eastern,Jhapa,"184,384","108,604","1,884","41,832","13,288","16,279",104,"1,620",773,"151,374","29,894",914,"1,004",418,780,"12,852","170,535","94,656","115,555","30,044","12,116","4,223","14,457","135,825","2,767","21,538","126,182","1,725","15,460",997,"157,581","20,403","2,251","4,149","3,455","66,326","15,991","93,918",227,"3,251","1,216","19,157","132,048",736,"29,517",524,0,"1,001","1,401","184,552","6,369","20,684","34,902","44,853","34,514","22,006","9,947","5,369","5,908","184,384","59,545",0,"184,384","32,629","24,026","126,963",766,"184,384","184,384"
Eastern,Morang,"213,870","96,037","2,806","49,769","52,659","8,480",83,"3,168",868,"162,107","47,348",705,"2,190",639,881,"19,189","192,918","85,108","97,332","36,565","13,926","5,580","16,871","145,031","2,688","23,849","146,878","1,590","17,892","1,763","185,571","22,959","1,681","3,659","6,346","64,984","20,967","118,224",206,"1,537","1,606","45,002","123,159","6,051","36,834",569,0,364,"1,891","213,997","8,293","23,494","36,673","50,278","41,317","26,608","12,229","6,546","8,559","213,870","54,220",0,"213,870","36,121","27,849","148,556","1,344","213,870","213,870"
Eastern,Sunsari,"162,279","57,978","1,936","46,982","50,288","2,988",137,"1,128",842,"132,618","26,986",556,864,384,871,"15,170","145,882","61,488","85,353","31,547","10,741","3,234","14,787","112,762","2,552","19,553","93,647","1,837","17,804","1,227","134,351","21,598","2,646","3,684","4,066","57,216","9,226","88,549",161,"1,621","1,440","27,485","96,127",784,"35,193",517,0,537,"1,636","162,407","6,698","16,712","26,817","36,146","30,631","20,652","10,221","5,779","8,751","162,279","37,984",6,"162,279","27,651","22,281","111,360",987,"162,279","162,279"
Eastern,Dhankuta,"37,616","32,450",226,"4,590",31,89,37,103,90,"31,590","4,335",114,"1,148",336,93,"4,760","32,454","22,934","15,081","3,240","1,237",499,"1,844","28,520",168,818,212,57,508,402,"32,116","4,298",506,696,"27,597","3,400","1,306","4,742",111,316,144,"17,702","17,580",127,"1,842",95,1,108,161,"37,637","2,531","4,867","6,691","7,660","6,467","4,643","2,302","1,254","1,222","37,616","11,804",1,"37,616","3,980","4,775","28,713",148,"37,616","37,616"
Eastern,Terhathum,"22,084","20,793",63,"1,082",19,32,14,11,70,"14,833","4,390",64,"2,045",680,72,"3,009","18,728","14,529","6,154","1,675",381,162,817,"15,127",18,145,69,18,37,347,"19,251","1,694",83,"1,056","19,959",454,319,"1,169",2,81,100,"12,239","9,011",217,279,56,0,174,108,"22,094","1,065","2,421","3,467","4,560","4,060","3,083","1,671",888,879,"22,084","7,832",0,"22,084","2,077","2,901","17,026",80,"22,084","22,084"
Eastern,Sankhuwasabha,"34,615","32,753",181,"1,431",1,69,29,12,139,"18,201","7,905",46,"6,678","1,650",135,"6,116","27,937","21,668","5,802","2,545",791,270,"1,748","21,397",76,373,309,25,439,562,"30,959","2,596",189,871,"24,860",403,890,"7,629",52,593,188,"22,576","8,756",263,176,485,21,"2,129",209,"34,624","2,106","3,954","5,124","6,556","6,149","5,043","2,677","1,533","1,482","34,615","9,589",0,"34,615","3,510","4,469","26,479",157,"34,615","34,615"
Eastern,Bhojpur,"39,393","38,291",178,491,153,71,5,155,49,"5,844","10,639",222,"16,596","6,043",49,"8,914","29,982","24,326","3,563",436,293,177,"1,017","21,422",21,58,47,18,21,497,"36,057","2,128",183,"1,025","35,175",211,280,"2,938",633,69,87,"30,521","5,853","2,026",62,580,6,252,93,"39,419","2,589","4,269","5,738","7,227","7,102","5,757","3,160","1,826","1,751","39,393","11,559",0,"39,393","3,934","4,386","30,925",148,"39,393","39,393"
