Region,Area,F_Total,F_Wood_firewood,F_Kerosene,F_LP_gas,F_Cow_dung,F_Bio_gas,F_Electricity,F_Others,F_Not_stated,L_Electricity,L_Kerosene,L_Bio_gas,L_Solar,L_Others,L_Not_stated,E_Without_any,E_At_least_one,E_Radio,E_TV,E_Cable_TV,E_Computer,E_Internet,E_Telephone,E_Mobile_phone,E_Motor,E_Motorcycle,E_Cycle,E_Other_vehicle,E_Fridge,E_Not_stated,H_Owned,H_Rented,H_Institutional,H_Other,W_Mud_bonded_bricks_stone,W_Cement_bonded_bricks_stone,W_Wood_planks,W_Bamboo,W_Unbaked_brick,W_Others,W_Not_stated,R_Thatch_straw,R_Galvanized_iron,R_Tile_slate,R_RCC,R_Wood_planks,R_Mud,R_Others,R_Not_stated,P_Total,P_1p,P_2p,P_3p,P_4p,P_5p,P_6p,P_7p,P_8p,P_9p_plus,A_Total,A_Absent_hh,A_Not_stated,V_Total,V_F_House_and_land,V_Land_only,V_Neither,V_Not_stated,L_Total,E_Total
Eastern,Taplejung,26471.00,25287.00,128.00,849.00,5.00,63.00,2.00,6.00,131.00,6635.00,11898.00,28.00,7424.00,355.00,131.00,5271.00,21188.00,17901.00,2958.00,1158.00,412.00,124.00,1103.00,15560.00,14.00,73.00,34.00,8.00,17.00,12.00,21533.00,3052.00,133.00,1753.00,21952.00,820.00,1226.00,2124.00,8.00,144.00,197.00,16128.00,8725.00,144.00,362.00,413.00,2.00,519.00,178.00,26509.00,1419.00,2771.00,3793.00,4747.00,4649.00,3804.00,2381.00,1392.00,1553.00,26471.00,7745.00,0.00,26471.00,2503.00,2710.00,21175.00,83.00,26471.00,26471.00
Eastern,Panchthar,41176.00,37916.00,330.00,2368.00,134.00,196.00,12.00,80.00,140.00,11474.00,16278.00,298.00,11028.00,1962.00,136.00,8212.00,32730.00,26253.00,4768.00,1858.00,623.00,235.00,940.00,24364.00,86.00,549.00,85.00,40.00,197.00,234.00,36413.00,4016.00,230.00,517.00,33219.00,1859.00,1846.00,3768.00,24.00,271.00,189.00,21404.00,17521.00,248.00,803.00,231.00,1.00,766.00,202.00,41196.00,2159.00,4553.00,6276.00,8080.00,7292.00,5800.00,3174.00,1883.00,1979.00,41176.00,14041.00,0.00,41176.00,2864.00,3674.00,34475.00,163.00,41176.00,41176.00
Eastern,Ilam,64477.00,58179.00,455.00,3775.00,108.00,1527.00,36.00,50.00,347.00,42261.00,14875.00,440.00,4397.00,2155.00,349.00,7127.00,56719.00,43263.00,24788.00,4810.00,1651.00,467.00,2578.00,44646.00,351.00,2147.00,3822.00,124.00,523.00,631.00,57975.00,4480.00,467.00,1555.00,32325.00,6195.00,12541.00,11568.00,158.00,1229.00,461.00,8369.00,52221.00,406.00,2022.00,222.00,6.00,725.00,506.00,64502.00,2423.00,6531.00,11390.00,15423.00,12196.00,8406.00,3866.00,2149.00,2118.00,64477.00,16846.00,0.00,64477.00,5242.00,6027.00,52268.00,940.00,64477.00,64477.00
Eastern,Jhapa,184384.00,108604.00,1884.00,41832.00,13288.00,16279.00,104.00,1620.00,773.00,151374.00,29894.00,914.00,1004.00,418.00,780.00,12852.00,170535.00,94656.00,115555.00,30044.00,12116.00,4223.00,14457.00,135825.00,2767.00,21538.00,126182.00,1725.00,15460.00,997.00,157581.00,20403.00,2251.00,4149.00,3455.00,66326.00,15991.00,93918.00,227.00,3251.00,1216.00,19157.00,132048.00,736.00,29517.00,524.00,0.00,1001.00,1401.00,184552.00,6369.00,20684.00,34902.00,44853.00,34514.00,22006.00,9947.00,5369.00,5908.00,184384.00,59545.00,0.00,184384.00,32629.00,24026.00,126963.00,766.00,184384.00,184384.00
Eastern,Morang,213870.00,96037.00,2806.00,49769.00,52659.00,8480.00,83.00,3168.00,868.00,162107.00,47348.00,705.00,2190.00,639.00,881.00,19189.00,192918.00,85108.00,97332.00,36565.00,13926.00,5580.00,16871.00,145031.00,2688.00,23849.00,146878.00,1590.00,17892.00,1763.00,185571.00,22959.00,1681.00,3659.00,6346.00,64984.00,20967.00,118224.00,206.00,1537.00,1606.00,45002.00,123159.00,6051.00,36834.00,569.00,0.00,364.00,1891.00,213997.00,8293.00,23494.00,36673.00,50278.00,41317.00,26608.00,12229.00,6546.00,8559.00,213870.00,54220.00,0.00,213870.00,36121.00,27849.00,148556.00,1344.00,213870.00,213870.00
Eastern,Sunsari,162279.00,57978.00,1936.00,46982.00,50288.00,2988.00,137.00,1128.00,842.00,132618.00,26986.00,556.00,864.00,384.00,871.00,15170.00,145882.00,61488.00,85353.00,31547.00,10741.00,3234.00,14787.00,112762.00,2552.00,19553.00,93647.00,1837.00,17804.00,1227.00,134351.00,21598.00,2646.00,3684.00,4066.00,57216.00,9226.00,88549.00,161.00,1621.00,1440.00,27485.00,96127.00,784.00,35193.00,517.00,0.00,537.00,1636.00,162407.00,6698.00,16712.00,26817.00,36146.00,30631.00,20652.00,10221.00,5779.00,8751.00,162279.00,37984.00,6.00,162279.00,27651.00,22281.00,111360.00,987.00,162279.00,162279.00
Eastern,Dhankuta,37616.00,32450.00,226.00,4590.00,31.00,89.00,37.00,103.00,90.00,31590.00,4335.00,114.00,1148.00,336.00,93.00,4760.00,32454.00,22934.00,15081.00,3240.00,1237.00,499.00,1844.00,28520.00,168.00,818.00,212.00,57.00,508.00,402.00,32116.00,4298.00,506.00,696.00,27597.00,3400.00,1306.00,4742.00,111.00,316.00,144.00,17702.00,17580.00,127.00,1842.00,95.00,1.00,108.00,161.00,37637.00,2531.00,4867.00,6691.00,7660.00,6467.00,4643.00,2302.00,1254.00,1222.00,37616.00,11804.00,1.00,37616.00,3980.00,4775.00,28713.00,148.00,37616.00,37616.00
Eastern,Terhathum,22084.00,20793.00,63.00,1082.00,19.00,32.00,14.00,11.00,70.00,14833.00,4390.00,64.00,2045.00,680.00,72.00,3009.00,18728.00,14529.00,6154.00,1675.00,381.00,162.00,817.00,15127.00,18.00,145.00,69.00,18.00,37.00,347.00,19251.00,1694.00,83.00,1056.00,19959.00,454.00,319.00,1169.00,2.00,81.00,100.00,12239.00,9011.00,217.00,279.00,56.00,0.00,174.00,108.00,22094.00,1065.00,2421.00,3467.00,4560.00,4060.00,3083.00,1671.00,888.00,879.00,22084.00,7832.00,0.00,22084.00,2077.00,2901.00,17026.00,80.00,22084.00,22084.00
Eastern,Sankhuwasabha,34615.00,32753.00,181.00,1431.00,1.00,69.00,29.00,12.00,139.00,18201.00,7905.00,46.00,6678.00,1650.00,135.00,6116.00,27937.00,21668.00,5802.00,2545.00,791.00,270.00,1748.00,21397.00,76.00,373.00,309.00,25.00,439.00,562.00,30959.00,2596.00,189.00,871.00,24860.00,403.00,890.00,7629.00,52.00,593.00,188.00,22576.00,8756.00,263.00,176.00,485.00,21.00,2129.00,209.00,34624.00,2106.00,3954.00,5124.00,6556.00,6149.00,5043.00,2677.00,1533.00,1482.00,34615.00,9589.00,0.00,34615.00,3510.00,4469.00,26479.00,157.00,34615.00,34615.00
Eastern,Bhojpur,39393.00,38291.00,178.00,491.00,153.00,71.00,5.00,155.00,49.00,5844.00,10639.00,222.00,16596.00,6043.00,49.00,8914.00,29982.00,24326.00,3563.00,436.00,293.00,177.00,1017.00,21422.00,21.00,58.00,47.00,18.00,21.00,497.00,36057.00,2128.00,183.00,1025.00,35175.00,211.00,280.00,2938.00,633.00,69.00,87.00,30521.00,5853.00,2026.00,62.00,580.00,6.00,252.00,93.00,39419.00,2589.00,4269.00,5738.00,7227.00,7102.00,5757.00,3160.00,1826.00,1751.00,39393.00,11559.00,0.00,39393.00,3934.00,4386.00,30925.00,148.00,39393.00,39393.00
