Region,Area,F_wood_pct,F_Kerosene_pct,F_LP_gas_pct,F_cow_dung_pct,F_Bio_gas_pct,F_electricity_pct,F_others_pct,F_not_stated_pct,L_electricity_pct,L_Kerosene_pct,L_Bio_gas_pct,L_Solar_pct,L_Others_pct,L_Not_stated_pct,E_Without_any_pct,E_At_least_one_pct,E_Radio_pct,E_TV_pct,E_Cable_TV_pct,E_Computer_pct,E_Internet_pct,E_Telephone_pct,E_Mobile_phone_pct,E_Motor_pct,E_Motorcycle_pct,E_Cycle_pct,E_Other_vehicle_pct,E_Fridge_pct,E_Not_stated_pct,H_Owned_pct,H_Rented_pct,H_Institutional_pct,H_Other_pct,W_Mud_bonded_bricks_stone_pct,W_Cement_bonded_bricks_stone_pct,W_Wood_planks_pct,W_Bamboo_pct,W_Unbaked_brick_pct,W_Others_pct,W_Not_stated_pct,R_Thatch_straw_pct,R_Galvanized_iron_pct,R_Tile_slate_pct,R_RCC_pct,R_Wood_planks_pct,R_Mud_pct,R_Others_pct,R_Not_stated_pct,P_1p_pct,P_2p_pct,P_3p_pct,P_4p_pct,P_5p_pct,P_6p_pct,P_7p_pct,P_8p_pct,P_9p_plus_pct,A_Absent_hh_pct,A_Not_stated_pct,V_F_House_and_land_pct,V_Land_only_pct,V_Neither_pct,V_Not_stated_pct
Eastern,Taplejung,0.955271807,0.00483548,0.032072834,0.000188886,0.002379963,7.55544E-05,0.000226663,0.004948812,0.250651657,0.449473008,0.001057761,0.28045786,0.013410902,0.004948812,0.199123569,0.800423105,0.676249481,0.111744928,0.043745986,0.015564202,0.004684372,0.041668241,0.587813078,0.000528881,0.002757735,0.001284424,0.000302218,0.000642212,0.000453326,0.813456235,0.115295984,0.005024366,0.066223414,0.829284878,0.030977296,0.046314835,0.080238752,0.000302218,0.005439915,0.007442106,0.609270522,0.329605984,0.005439915,0.013675343,0.01560198,7.55544E-05,0.019606362,0.00672434,0.053605833,0.104680594,0.143288882,0.179328322,0.175626157,0.143704431,0.08994749,0.052585849,0.058667976,0.292584338,0,0.094556307,0.102376185,0.799932001,0.003135507
Eastern,Panchthar,0.920827667,0.008014377,0.057509229,0.003254323,0.004760054,0.000291432,0.001942879,0.003400039,0.27865747,0.395327375,0.007237226,0.267825918,0.047649116,0.003302895,0.199436565,0.794880513,0.637580144,0.115795609,0.045123373,0.015130173,0.005707208,0.022828832,0.591703905,0.002088595,0.01333301,0.002064309,0.00097144,0.00478434,0.005682922,0.884325821,0.097532543,0.005585778,0.012555858,0.806756363,0.045147659,0.044831941,0.091509617,0.000582864,0.006581504,0.004590052,0.519817369,0.425514863,0.006022926,0.019501651,0.005610064,2.4286E-05,0.01860307,0.00490577,0.052433456,0.110574121,0.152418885,0.196230814,0.177093452,0.140858753,0.077083738,0.045730523,0.048061978,0.340999611,0,0.069555081,0.089226734,0.837259569,0.003958617
Eastern,Ilam,0.902321758,0.00705678,0.058548009,0.001675016,0.023682864,0.000558339,0.00077547,0.005381764,0.655443026,0.230702421,0.006824139,0.06819486,0.033422771,0.005412783,0.11053554,0.879678025,0.670983451,0.384447167,0.074600245,0.02560603,0.007242893,0.03998325,0.692432961,0.005443802,0.033298696,0.059276951,0.001923166,0.00811142,0.009786435,0.899157839,0.069482141,0.007242893,0.024117127,0.501341564,0.096080773,0.194503466,0.179412814,0.002450486,0.019061061,0.007149836,0.129798223,0.809916714,0.006296819,0.03136002,0.003443088,9.30564E-05,0.01124432,0.00784776,0.037579292,0.101291934,0.17665214,0.239201576,0.189152721,0.130372071,0.059959365,0.033329714,0.032848923,0.261271461,0,0.081300309,0.093475193,0.810645657,0.014578842
Eastern,Jhapa,0.589009892,0.010217806,0.226874349,0.072066991,0.088288572,0.00056404,0.008786012,0.004192338,0.820971451,0.162129035,0.004957046,0.005445158,0.002267008,0.004230302,0.06970236,0.924890446,0.513363415,0.626708391,0.162942555,0.065710691,0.022903289,0.07840702,0.736642008,0.015006725,0.116810569,0.684343544,0.009355476,0.083846755,0.005407194,0.854634892,0.110654938,0.012208218,0.022501952,0.018738068,0.359716678,0.086726614,0.509360899,0.001231126,0.017631682,0.006594932,0.103897301,0.716157584,0.00399167,0.160084389,0.002841895,0,0.005428888,0.007598273,0.034542043,0.112178931,0.189289743,0.243258634,0.187185439,0.11934875,0.053947197,0.029118579,0.032041826,0.322940168,0,0.176962209,0.130304148,0.688579269,0.004154373
Eastern,Morang,0.449043812,0.01312012,0.232706784,0.246219666,0.039650255,0.000388086,0.014812737,0.00405854,0.757969795,0.221386824,0.003296395,0.010239865,0.002987796,0.004119325,0.089722729,0.902033946,0.397942675,0.455098892,0.170968345,0.065114322,0.026090616,0.078884369,0.6781269,0.012568383,0.111511666,0.686762987,0.007434423,0.083658297,0.008243325,0.867681302,0.10735026,0.007859915,0.017108524,0.029672231,0.303848132,0.09803619,0.552784402,0.000963202,0.007186609,0.007509235,0.210417543,0.575859167,0.028292888,0.172226119,0.002660495,0,0.001701968,0.00884182,0.038775892,0.109851779,0.171473325,0.235086735,0.19318745,0.124412026,0.057179595,0.030607378,0.040019638,0.253518493,0,0.168892318,0.130214616,0.694608875,0.006284191
Eastern,Sunsari,0.357273584,0.011930071,0.289513739,0.30988606,0.018412734,0.000844225,0.006950992,0.005188595,0.817222191,0.166293852,0.003426198,0.005324164,0.002366295,0.0053673,0.09348098,0.898957967,0.378903,0.525964543,0.194399768,0.066188478,0.019928641,0.091120847,0.694865016,0.015726003,0.12049002,0.577074051,0.011320011,0.109712286,0.007561052,0.82790133,0.133091774,0.016305252,0.022701643,0.025055614,0.352577968,0.056852704,0.545659019,0.000992119,0.00998897,0.008873607,0.169368803,0.592356374,0.004831186,0.216867247,0.003185871,0,0.003309116,0.010081403,0.041274595,0.102983134,0.165252436,0.222739849,0.188755169,0.127262308,0.06298412,0.035611509,0.053925647,0.234066022,3.69734E-05,0.170391733,0.137300575,0.686225574,0.006082118
Eastern,Dhankuta,0.862664823,0.006008082,0.122022544,0.000824117,0.002366014,0.000983624,0.002738197,0.002392599,0.839802212,0.115243513,0.003030625,0.030518928,0.008932369,0.002472352,0.126541897,0.862771161,0.609687367,0.400919821,0.08613356,0.032884943,0.013265632,0.049021693,0.758188005,0.004466185,0.021746066,0.0056359,0.001515313,0.013504892,0.010686942,0.853785623,0.114259889,0.013451723,0.018502765,0.733650574,0.090387069,0.034719268,0.126063377,0.002950872,0.008400681,0.003828158,0.470597618,0.467354317,0.003376223,0.048968524,0.002525521,2.65844E-05,0.002871119,0.004280094,0.067285198,0.129386431,0.177876436,0.20363675,0.171921523,0.123431519,0.061197363,0.033336878,0.032486176,0.313802637,2.65844E-05,0.10580604,0.126940664,0.763318801,0.003934496
Eastern,Terhathum,0.941541387,0.002852744,0.048994747,0.000860351,0.001449013,0.000633943,0.000498098,0.003169716,0.671662742,0.198786452,0.002898026,0.092600978,0.030791523,0.003260279,0.13625249,0.848034776,0.65789712,0.278663286,0.075846767,0.017252309,0.007335628,0.03699511,0.684975548,0.00081507,0.00656584,0.003124434,0.00081507,0.001675421,0.015712733,0.87171708,0.076707118,0.003758377,0.047817424,0.90377649,0.02055787,0.014444847,0.052934251,9.05633E-05,0.003667814,0.004528165,0.554202137,0.408032965,0.009826118,0.012633581,0.002535773,0,0.007879007,0.004890418,0.048224959,0.109626879,0.156991487,0.206484333,0.183843507,0.139603333,0.07566564,0.040210107,0.039802572,0.354645897,0,0.094049991,0.131362072,0.770965405,0.003622532
Eastern,Sankhuwasabha,0.946208291,0.005228947,0.041340459,2.88892E-05,0.001993355,0.000837787,0.000346671,0.0040156,0.525812509,0.228369204,0.001328904,0.192922144,0.047667196,0.003900043,0.176686408,0.807077856,0.6259714,0.167615196,0.073523039,0.022851365,0.007800087,0.050498339,0.618142424,0.00219558,0.010775675,0.008926766,0.00072223,0.012682363,0.016235736,0.894381049,0.074996389,0.005460061,0.025162502,0.718185758,0.011642352,0.025711397,0.220395782,0.001502239,0.017131301,0.005431171,0.652202802,0.252953922,0.007597862,0.005084501,0.014011267,0.000606673,0.061505128,0.006037845,0.060840676,0.114227936,0.148028311,0.18939766,0.177639752,0.145688285,0.077336415,0.044287159,0.042813809,0.277018634,0,0.101401127,0.129105879,0.764957388,0.004535606
Eastern,Bhojpur,0.972025487,0.004518569,0.012464143,0.003883939,0.001802351,0.000126926,0.003934709,0.001243876,0.14835123,0.270073363,0.005635519,0.421293123,0.153402889,0.001243876,0.226283858,0.761099688,0.617520879,0.090447541,0.011067956,0.00743787,0.004493184,0.025816769,0.543802198,0.00053309,0.001472343,0.001193105,0.000456934,0.00053309,0.012616455,0.915314904,0.05401975,0.004645495,0.026019851,0.892925139,0.005356282,0.007107862,0.074581778,0.016068845,0.00175158,0.002208514,0.774782322,0.148579697,0.051430457,0.001573884,0.014723428,0.000152311,0.006397076,0.002360826,0.065722336,0.108369507,0.145660397,0.18345899,0.180285838,0.146142716,0.080217297,0.046353413,0.044449521,0.293427766,0,0.099865458,0.111339578,0.785037951,0.003757013
