Region,Area,F_wood_pct,F_Kerosene_pct,F_LP_gas_pct,F_cow_dung_pct,F_Bio_gas_pct,F_electricity_pct,F_others_pct,F_not_stated_pct,L_electricity_pct,L_Kerosene_pct,L_Bio_gas_pct,L_Solar_pct,L_Others_pct,L_Not_stated_pct,E_Without_any_pct,E_At_least_one_pct,E_Radio_pct,E_TV_pct,E_Cable_TV_pct,E_Computer_pct,E_Internet_pct,E_Telephone_pct,E_Mobile_phone_pct,E_Motor_pct,E_Motorcycle_pct,E_Cycle_pct,E_Other_vehicle_pct,E_Fridge_pct,E_Not_stated_pct,H_Owned_pct,H_Rented_pct,H_Institutional_pct,H_Other_pct,W_Mud_bonded_bricks_stone_pct,W_Cement_bonded_bricks_stone_pct,W_Wood_planks_pct,W_Bamboo_pct,W_Unbaked_brick_pct,W_Others_pct,W_Not_stated_pct,R_Thatch_straw_pct,R_Galvanized_iron_pct,R_Tile_slate_pct,R_RCC_pct,R_Wood_planks_pct,R_Mud_pct,R_Others_pct,R_Not_stated_pct,P_1p_pct,P_2p_pct,P_3p_pct,P_4p_pct,P_5p_pct,P_6p_pct,P_7p_pct,P_8p_pct,P_9p_plus_pct,A_Absent_hh_pct,A_Not_stated_pct,V_F_House_and_land_pct,V_Land_only_pct,V_Neither_pct,V_Not_stated_pct
Eastern,Taplejung,0.955,0.005,0.032,0.000,0.002,0.000,0.000,0.005,0.251,0.449,0.001,0.280,0.013,0.005,0.199,0.800,0.676,0.112,0.044,0.016,0.005,0.042,0.588,0.001,0.003,0.001,0.000,0.001,0.000,0.813,0.115,0.005,0.066,0.829,0.031,0.046,0.080,0.000,0.005,0.007,0.609,0.330,0.005,0.014,0.016,0.000,0.020,0.007,0.054,0.105,0.143,0.179,0.176,0.144,0.090,0.053,0.059,0.293,0.000,0.095,0.102,0.800,0.003
Eastern,Panchthar,0.921,0.008,0.058,0.003,0.005,0.000,0.002,0.003,0.279,0.395,0.007,0.268,0.048,0.003,0.199,0.795,0.638,0.116,0.045,0.015,0.006,0.023,0.592,0.002,0.013,0.002,0.001,0.005,0.006,0.884,0.098,0.006,0.013,0.807,0.045,0.045,0.092,0.001,0.007,0.005,0.520,0.426,0.006,0.020,0.006,0.000,0.019,0.005,0.052,0.111,0.152,0.196,0.177,0.141,0.077,0.046,0.048,0.341,0.000,0.070,0.089,0.837,0.004
Eastern,Ilam,0.902,0.007,0.059,0.002,0.024,0.001,0.001,0.005,0.655,0.231,0.007,0.068,0.033,0.005,0.111,0.880,0.671,0.384,0.075,0.026,0.007,0.040,0.692,0.005,0.033,0.059,0.002,0.008,0.010,0.899,0.069,0.007,0.024,0.501,0.096,0.195,0.179,0.002,0.019,0.007,0.130,0.810,0.006,0.031,0.003,0.000,0.011,0.008,0.038,0.101,0.177,0.239,0.189,0.130,0.060,0.033,0.033,0.261,0.000,0.081,0.093,0.811,0.015
Eastern,Jhapa,0.589,0.010,0.227,0.072,0.088,0.001,0.009,0.004,0.821,0.162,0.005,0.005,0.002,0.004,0.070,0.925,0.513,0.627,0.163,0.066,0.023,0.078,0.737,0.015,0.117,0.684,0.009,0.084,0.005,0.855,0.111,0.012,0.023,0.019,0.360,0.087,0.509,0.001,0.018,0.007,0.104,0.716,0.004,0.160,0.003,0.000,0.005,0.008,0.035,0.112,0.189,0.243,0.187,0.119,0.054,0.029,0.032,0.323,0.000,0.177,0.130,0.689,0.004
Eastern,Morang,0.449,0.013,0.233,0.246,0.040,0.000,0.015,0.004,0.758,0.221,0.003,0.010,0.003,0.004,0.090,0.902,0.398,0.455,0.171,0.065,0.026,0.079,0.678,0.013,0.112,0.687,0.007,0.084,0.008,0.868,0.107,0.008,0.017,0.030,0.304,0.098,0.553,0.001,0.007,0.008,0.210,0.576,0.028,0.172,0.003,0.000,0.002,0.009,0.039,0.110,0.171,0.235,0.193,0.124,0.057,0.031,0.040,0.254,0.000,0.169,0.130,0.695,0.006
Eastern,Sunsari,0.357,0.012,0.290,0.310,0.018,0.001,0.007,0.005,0.817,0.166,0.003,0.005,0.002,0.005,0.093,0.899,0.379,0.526,0.194,0.066,0.020,0.091,0.695,0.016,0.120,0.577,0.011,0.110,0.008,0.828,0.133,0.016,0.023,0.025,0.353,0.057,0.546,0.001,0.010,0.009,0.169,0.592,0.005,0.217,0.003,0.000,0.003,0.010,0.041,0.103,0.165,0.223,0.189,0.127,0.063,0.036,0.054,0.234,0.000,0.170,0.137,0.686,0.006
Eastern,Dhankuta,0.863,0.006,0.122,0.001,0.002,0.001,0.003,0.002,0.840,0.115,0.003,0.031,0.009,0.002,0.127,0.863,0.610,0.401,0.086,0.033,0.013,0.049,0.758,0.004,0.022,0.006,0.002,0.014,0.011,0.854,0.114,0.013,0.019,0.734,0.090,0.035,0.126,0.003,0.008,0.004,0.471,0.467,0.003,0.049,0.003,0.000,0.003,0.004,0.067,0.129,0.178,0.204,0.172,0.123,0.061,0.033,0.032,0.314,0.000,0.106,0.127,0.763,0.004
Eastern,Terhathum,0.942,0.003,0.049,0.001,0.001,0.001,0.000,0.003,0.672,0.199,0.003,0.093,0.031,0.003,0.136,0.848,0.658,0.279,0.076,0.017,0.007,0.037,0.685,0.001,0.007,0.003,0.001,0.002,0.016,0.872,0.077,0.004,0.048,0.904,0.021,0.014,0.053,0.000,0.004,0.005,0.554,0.408,0.010,0.013,0.003,0.000,0.008,0.005,0.048,0.110,0.157,0.206,0.184,0.140,0.076,0.040,0.040,0.355,0.000,0.094,0.131,0.771,0.004
Eastern,Sankhuwasabha,0.946,0.005,0.041,0.000,0.002,0.001,0.000,0.004,0.526,0.228,0.001,0.193,0.048,0.004,0.177,0.807,0.626,0.168,0.074,0.023,0.008,0.050,0.618,0.002,0.011,0.009,0.001,0.013,0.016,0.894,0.075,0.005,0.025,0.718,0.012,0.026,0.220,0.002,0.017,0.005,0.652,0.253,0.008,0.005,0.014,0.001,0.062,0.006,0.061,0.114,0.148,0.189,0.178,0.146,0.077,0.044,0.043,0.277,0.000,0.101,0.129,0.765,0.005
Eastern,Bhojpur,0.972,0.005,0.012,0.004,0.002,0.000,0.004,0.001,0.148,0.270,0.006,0.421,0.153,0.001,0.226,0.761,0.618,0.090,0.011,0.007,0.004,0.026,0.544,0.001,0.001,0.001,0.000,0.001,0.013,0.915,0.054,0.005,0.026,0.893,0.005,0.007,0.075,0.016,0.002,0.002,0.775,0.149,0.051,0.002,0.015,0.000,0.006,0.002,0.066,0.108,0.146,0.183,0.180,0.146,0.080,0.046,0.044,0.293,0.000,0.100,0.111,0.785,0.004
Eastern,Solukhumbu,0.955,0.005,0.004,0.001,0.001,0.032,0.000,0.002,0.628,0.198,0.009,0.104,0.059,0.002,0.201,0.786,0.702,0.077,0.051,0.014,0.007,0.052,0.444,0.000,0.001,0.001,0.000,0.012,0.013,0.884,0.094,0.006,0.016,0.937,0.007,0.029,0.021,0.001,0.002,0.003,0.363,0.238,0.113,0.001,0.245,0.000,0.036,0.003,0.071,0.117,0.152,0.195,0.176,0.146,0.072,0.040,0.031,0.178,0.000,0.105,0.116,0.776,0.003
Eastern,Okhaldhunga,0.970,0.004,0.015,0.002,0.001,0.000,0.001,0.007,0.417,0.280,0.004,0.218,0.075,0.007,0.214,0.761,0.689,0.051,0.024,0.007,0.005,0.035,0.428,0.001,0.006,0.002,0.001,0.002,0.025,0.949,0.036,0.003,0.011,0.946,0.009,0.009,0.014,0.010,0.002,0.010,0.527,0.135,0.280,0.004,0.032,0.000,0.012,0.010,0.067,0.126,0.145,0.187,0.170,0.142,0.078,0.043,0.044,0.238,0.000,0.125,0.165,0.702,0.008
Eastern,Khotang,0.981,0.004,0.007,0.001,0.001,0.000,0.000,0.005,0.311,0.280,0.003,0.252,0.149,0.005,0.260,0.715,0.628,0.094,0.023,0.011,0.003,0.038,0.410,0.000,0.002,0.001,0.000,0.001,0.025,0.952,0.031,0.002,0.015,0.942,0.003,0.005,0.042,0.000,0.002,0.006,0.739,0.155,0.076,0.001,0.004,0.003,0.015,0.007,0.058,0.105,0.134,0.168,0.173,0.156,0.093,0.056,0.058,0.320,0.000,0.078,0.128,0.785,0.008
Eastern,Udayapur,0.911,0.005,0.058,0.005,0.013,0.004,0.001,0.003,0.513,0.225,0.002,0.197,0.060,0.003,0.209,0.781,0.455,0.252,0.093,0.023,0.005,0.038,0.610,0.004,0.049,0.229,0.004,0.031,0.010,0.924,0.062,0.006,0.008,0.239,0.158,0.142,0.446,0.001,0.010,0.005,0.379,0.284,0.264,0.057,0.003,0.001,0.006,0.006,0.040,0.100,0.154,0.200,0.185,0.142,0.081,0.046,0.052,0.267,0.000,0.100,0.131,0.763,0.006
Eastern,Saptari,0.340,0.017,0.041,0.582,0.003,0.000,0.001,0.014,0.419,0.553,0.002,0.010,0.001,0.014,0.194,0.784,0.377,0.274,0.040,0.016,0.003,0.021,0.511,0.028,0.074,0.636,0.007,0.009,0.022,0.962,0.022,0.003,0.013,0.052,0.210,0.012,0.694,0.002,0.009,0.021,0.516,0.229,0.112,0.117,0.005,0.000,0.002,0.019,0.029,0.083,0.106,0.190,0.204,0.163,0.083,0.051,0.092,0.179,0.000,0.076,0.127,0.781,0.016
Eastern,Siraha,0.366,0.010,0.035,0.573,0.002,0.000,0.004,0.008,0.673,0.302,0.002,0.012,0.003,0.008,0.196,0.783,0.365,0.355,0.048,0.016,0.003,0.018,0.564,0.026,0.084,0.567,0.008,0.009,0.021,0.966,0.020,0.004,0.010,0.045,0.250,0.029,0.653,0.002,0.006,0.014,0.364,0.066,0.407,0.139,0.009,0.000,0.003,0.012,0.026,0.072,0.109,0.180,0.204,0.165,0.089,0.054,0.100,0.312,0.000,0.076,0.134,0.778,0.012
