ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,note_source.label
Angola,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,21060.91,Repository: UN-DESA
Burundi,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,1541.131,Repository: UN-DESA
Benin,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,5648.171,Repository: UN-DESA
Burkina Faso,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,6092.334,Repository: UN-DESA
Botswana,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,1616.554,Repository: UN-DESA
Central African Republic,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,1982.07,Repository: UN-DESA
Côte d'Ivoire,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,13176.786,Repository: UN-DESA
Cameroon,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,14741.366,Repository: UN-DESA
"Congo, Democratic Republic of the","Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,39095.985,Repository: UN-DESA
Congo,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,3624.996,Repository: UN-DESA
Comoros,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,248.154,Repository: UN-DESA
Cape Verde,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,364.03,Repository: UN-DESA
Djibouti,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,758.548,Repository: UN-DESA
Algeria,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,31510.185,Repository: UN-DESA
Egypt,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,42895.917,Repository: UN-DESA
Eritrea,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,1423.732,Repository: UN-DESA
Western Sahara,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,505.311,Repository: UN-DESA
Ethiopia,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,23788.762,Repository: UN-DESA
