,,,,,,,,,,,Census,2010 Based Population Forecasts,,,,2020 Census Data
TAZ,Town,TDM #,Town #,County,CIPP,COG,COG #,MPO,MPO #,,2010,2020,2030,2040,,2020 Actual
1562,Andover,135,1,Tolland,701,CRCOG,10,CRCOG,10,,1096,1211,1324,1434,,
1563,Andover,135,1,Tolland,701,CRCOG,10,CRCOG,10,,438,484,529,573,,
1564,Andover,135,1,Tolland,701,CRCOG,10,CRCOG,10,,755,835,912,988,,
1565,Andover,135,1,Tolland,701,CRCOG,10,CRCOG,10,,1014,1121,1225,1327,,
577,Ansonia,52,2,New Haven,501,NVCOG,5,GBVMPO,6,,2159,2163,2166,2170,,
578,Ansonia,52,2,New Haven,501,NVCOG,5,GBVMPO,6,,2457,2461,2465,2469,,
579,Ansonia,52,2,New Haven,501,NVCOG,5,GBVMPO,6,,1391,1394,1396,1398,,
580,Ansonia,52,2,New Haven,501,NVCOG,5,GBVMPO,6,,3481,3487,3493,3498,,
581,Ansonia,52,2,New Haven,501,NVCOG,5,GBVMPO,6,,2496,2501,2505,2508,,
582,Ansonia,52,2,New Haven,501,NVCOG,5,GBVMPO,6,,637,638,639,640,,
583,Ansonia,52,2,New Haven,501,NVCOG,5,GBVMPO,6,,1370,1372,1375,1377,,
584,Ansonia,52,2,New Haven,501,NVCOG,5,GBVMPO,6,,1877,1880,1883,1886,,
585,Ansonia,52,2,New Haven,501,NVCOG,5,GBVMPO,6,,1929,1933,1936,1938,,
586,Ansonia,52,2,New Haven,501,NVCOG,5,GBVMPO,6,,1452,1455,1457,1459,,
1590,Ashford,141,3,Windham,801,NECCOG,15,NECCOG,R,,881,948,1014,1078,,
1591,Ashford,141,3,Windham,801,NECCOG,15,NECCOG,R,,807,869,929,987,,
1592,Ashford,141,3,Windham,801,NECCOG,15,NECCOG,R,,1029,1107,1184,1259,,
1593,Ashford,141,3,Windham,801,NECCOG,15,NECCOG,R,,1600,1722,1840,1957,,
708,Avon,64,4,Hartford,201,CRCOG,10,CRCOG,10,,1813,2020,2222,2420,,
709,Avon,64,4,Hartford,201,CRCOG,10,CRCOG,10,,2692,3000,3300,3594,,
710,Avon,64,4,Hartford,201,CRCOG,10,CRCOG,10,,2351,2620,2882,3139,,
711,Avon,64,4,Hartford,201,CRCOG,10,CRCOG,10,,2689,2996,3296,3590,,
712,Avon,64,4,Hartford,201,CRCOG,10,CRCOG,10,,1550,1727,1900,2069,,
713,Avon,64,4,Hartford,201,CRCOG,10,CRCOG,10,,1629,1815,1997,2175,,
714,Avon,64,4,Hartford,201,CRCOG,10,CRCOG,10,,1307,1456,1602,1745,,
715,Avon,64,4,Hartford,201,CRCOG,10,CRCOG,10,,1274,1420,1562,1701,,
716,Avon,64,4,Hartford,201,CRCOG,10,CRCOG,10,,1750,1950,2145,2336,,
717,Avon,64,4,Hartford,201,CRCOG,10,CRCOG,10,,1043,1163,1278,1392,,
687,Barkhamsted,60,5,Litchfield,301,NHCOG,3,NHCOG,R,,984,1051,1117,1181,,
688,Barkhamsted,60,5,Litchfield,301,NHCOG,3,NHCOG,R,,655,700,743,786,,
689,Barkhamsted,60,5,Litchfield,301,NHCOG,3,NHCOG,R,,1038,1109,1178,1246,,
690,Barkhamsted,60,5,Litchfield,301,NHCOG,3,NHCOG,R,,1122,1198,1273,1346,,
595,Beacon Falls,54,6,New Haven,502,NVCOG,5,CNVRMPO,5,,3399,3745,4083,4414,,
596,Beacon Falls,54,6,New Haven,502,NVCOG,5,CNVRMPO,5,,1131,1246,1359,1469,,
597,Beacon Falls,54,6,New Haven,502,NVCOG,5,CNVRMPO,5,,443,488,532,575,,
598,Beacon Falls,54,6,New Haven,502,NVCOG,5,CNVRMPO,5,,1076,1186,1292,1397,,
1006,Berlin,82,7,Hartford,202,CRCOG,10,CRCOG,10,,1797,1926,2051,2174,,
1007,Berlin,82,7,Hartford,202,CRCOG,10,CRCOG,10,,5092,5457,5812,6161,,
1008,Berlin,82,7,Hartford,202,CRCOG,10,CRCOG,10,,1255,1345,1433,1520,,
1009,Berlin,82,7,Hartford,202,CRCOG,10,CRCOG,10,,1257,1347,1435,1521,,
1010,Berlin,82,7,Hartford,202,CRCOG,10,CRCOG,10,,1959,2099,2236,2370,,
1011,Berlin,82,7,Hartford,202,CRCOG,10,CRCOG,10,,1420,1522,1621,1718,,
1012,Berlin,82,7,Hartford,202,CRCOG,10,CRCOG,10,,1744,1869,1991,2110,,
1013,Berlin,82,7,Hartford,202,CRCOG,10,CRCOG,10,,1715,1838,1958,2075,,
1014,Berlin,82,7,Hartford,202,CRCOG,10,CRCOG,10,,1073,1150,1225,1299,,
1015,Berlin,82,7,Hartford,202,CRCOG,10,CRCOG,10,,2554,2737,2916,3090,,
797,Bethany,71,8,New Haven,503,SCRCOG,8,SCRCOG,8,,1048,1118,1186,1252,,
798,Bethany,71,8,New Haven,503,SCRCOG,8,SCRCOG,8,,1361,1452,1540,1626,,
799,Bethany,71,8,New Haven,503,SCRCOG,8,SCRCOG,8,,471,502,533,564,,
800,Bethany,71,8,New Haven,503,SCRCOG,8,SCRCOG,8,,2683,2861,3035,3206,,
245,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,1053,1098,1140,1182,,
246,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,2093,2180,2265,2349,,
247,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,1695,1766,1834,1902,,
248,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,3082,3210,3335,3457,,
249,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,1641,1709,1776,1841,,
250,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,2930,3052,3171,3288,,
251,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,1202,1252,1301,1349,,
252,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,2961,3084,3205,3323,,
253,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,1927,2007,2086,2162,,
338,Bethlehem,32,10,Litchfield,302,NVCOG,5,CNVRMPO,5,,1009,1096,1180,1263,,
339,Bethlehem,32,10,Litchfield,302,NVCOG,5,CNVRMPO,5,,845,918,988,1058,,
340,Bethlehem,32,10,Litchfield,302,NVCOG,5,CNVRMPO,5,,1055,1145,1234,1320,,
341,Bethlehem,32,10,Litchfield,302,NVCOG,5,CNVRMPO,5,,698,758,817,874,,
1085,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,722,742,761,780,,
1086,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,358,368,377,387,,
