country,city,pop
Algeria,Algiers,1977663
Angola,Luanda,2776168
Benin,Porto-Novo,234168
Botswana,Gaborone,208411
Burkina Faso,Ouagadougou,1086505
Burundi,Bujumbura,331700
Cape Verde,Praia,113364
Central African Republic,Bangui,542393
Chad,N'Djamena,721081
Djibouti,Djibouti,623891
DR Congo,Kinshasa,7785965
Egypt,Cairo,7734614
Equatorial Guinea,Malabo,155963
Eritrea,Asmara,563930
Ethiopia,Addis Ababa,2757729
Gabon,Libreville,578156
Ghana,Accra,1963264
Guinea,Conakry,1767200
Guinea-Bissau,Bissau,388028
Ivory Coast,Yamoussoukro,194530
Kenya,Nairobi,2750547
Lesotho,Maseru,118355
Liberia,Monrovia,939524
Libya,Tripoli,1150989
Madagascar,Antananarivo,1391433
Malawi,Lilongwe,646750
Mali,Bamako,1297281
Mauritania,Nouakchott,661400
Mauritius,Port Louis,155226
Morocco,Rabat,1655753
Mozambique,Maputo,1191613
Namibia,Windhoek,268132
Niger,Niamey,774235
Nigeria,Abuja,590400
Republic of the Congo,Brazzaville,1284609
Reunion,Saint-Denis,137195
Rwanda,Kigali,745261
Senegal,Dakar,2476400
Sierra Leone,Freetown,802639
Somalia,Mogadishu,2587183
South Africa,Pretoria,1619438
South Sudan,Juba,450000
Sudan,Khartoum,1974647
Tanzania,Dodoma,180541
Tunisia,Tunis,693210
Uganda,Kampala,1353189
Western Sahara,Laayoune,196331
Zambia,Lusaka,1267440
Zimbabwe,Harare,1542813
