city,country,pop
Lagos,Nigeria,9000000
Kinshasa,Republic of the Congo,7785965
Cairo,Egypt,7734614
Alexandria,Egypt,3811516
Abidjan,Ivory Coast,3677115
Kano,Nigeria,3626068
Ibadan,Nigeria,3565108
Cape Town,South Africa,3433441
Casablanca,Morocco,3144909
Durban,South Africa,3120282
Luanda,Angola,2776168
Addis Ababa,Ethiopia,2757729
Nairobi,Kenya,2750547
Dar es Salaam,Tanzania,2698652
Mogadishu,Somalia,2587183
Dakar,Senegal,2476400
Giza,Egypt,2443203
Johannesburg,South Africa,2026469
Algiers,Algeria,1977663
Khartoum,Sudan,1974647
Accra,Ghana,1963264
Camayenne,Guinea,1871242
Conakry,Guinea,1767200
Soweto,South Africa,1695047
Rabat,Morocco,1655753
Pretoria,South Africa,1619438
Kaduna,Nigeria,1582102
Harare,Zimbabwe,1542813
Kumasi,Ghana,1468609
Antananarivo,Madagascar,1391433
Lubumbashi,Republic of the Congo,1373770
Kampala,Uganda,1353189
Douala,Cameroon,1338082
Yaounde,Cameroon,1299369
Bamako,Mali,1297281
Brazzaville,DR Congo,1284609
Lusaka,Zambia,1267440
Omdurman,Sudan,1200000
Maputo,Mozambique,1191613
Tripoli,Libya,1150989
Port Harcourt,Nigeria,1148665
Benin City,Nigeria,1125058
Maiduguri,Nigeria,1112449
Ouagadougou,Burkina Faso,1086505
Zaria,Nigeria,975153
Port Elizabeth,South Africa,967677
Fes,Morocco,964891
Monrovia,Liberia,939524
Sale,Morocco,903485
Abobo,Ivory Coast,900000
Aba,Nigeria,897560
Mbuji-Mayi,Republic of the Congo,874761
Pikine,Senegal,874062
Marrakesh,Morocco,839296
Jos,Nigeria,816824
Ilorin,Nigeria,814192
Freetown,Sierra Leone,802639
Mombasa,Kenya,799668
Boumerdas,Algeria,786499
Cotonou,Benin,780000
Niamey,Niger,774235
Pietermaritzburg,South Africa,750845
Lome,Togo,749700
Kigali,Rwanda,745261
Oyo,Nigeria,736072
N'Djamena,Chad,721081
Bulawayo,Zimbabwe,699385
Agadir,Morocco,698310
Tunis,Tunisia,693210
Enugu,Nigeria,688862
Tangier,Morocco,688356
Matola,Mozambique,675422
Nouakchott,Mauritania,661400
Pointe-Noire,DR Congo,659084
Benghazi,Libya,650629
Lilongwe,Malawi,646750
Oran,Algeria,645984
Tebessa,Algeria,634332
Djibouti,Djibouti,623891
Benoni,South Africa,605344
Abeokuta,Nigeria,593100
Abuja,Nigeria,590400
Blantyre,Malawi,584877
Libreville,Gabon,578156
Bouake,Ivory Coast,567481
Nyala,Sudan,565734
