FIPStxt,State,Area name,Rural-urban continuum code 2013,Attribute,Value
0,US,United States,,Population 2020,331449281
1000,AL,Alabama,,Population 2020,5024279
1001,AL,Autauga County,2,Population 2020,58805
1003,AL,Baldwin County,3,Population 2020,231767
1005,AL,Barbour County,6,Population 2020,25223
1007,AL,Bibb County,1,Population 2020,22293
1009,AL,Blount County,1,Population 2020,59134
1011,AL,Bullock County,6,Population 2020,10357
1013,AL,Butler County,6,Population 2020,19051
1015,AL,Calhoun County,3,Population 2020,116441
1017,AL,Chambers County,6,Population 2020,34772
1019,AL,Cherokee County,6,Population 2020,24971
1021,AL,Chilton County,1,Population 2020,45014
1023,AL,Choctaw County,9,Population 2020,12665
1025,AL,Clarke County,7,Population 2020,23087
1027,AL,Clay County,9,Population 2020,14236
1029,AL,Cleburne County,8,Population 2020,15056
1031,AL,Coffee County,4,Population 2020,53465
1033,AL,Colbert County,3,Population 2020,57227
1035,AL,Conecuh County,7,Population 2020,11597
1037,AL,Coosa County,8,Population 2020,10387
1039,AL,Covington County,6,Population 2020,37570
1041,AL,Crenshaw County,8,Population 2020,13194
1043,AL,Cullman County,4,Population 2020,87866
1045,AL,Dale County,4,Population 2020,49326
1047,AL,Dallas County,4,Population 2020,38462
1049,AL,DeKalb County,6,Population 2020,71608
1051,AL,Elmore County,2,Population 2020,87977
1053,AL,Escambia County,6,Population 2020,36757
1055,AL,Etowah County,3,Population 2020,103436
1057,AL,Fayette County,6,Population 2020,16321
1059,AL,Franklin County,6,Population 2020,32113
1061,AL,Geneva County,3,Population 2020,26659
1063,AL,Greene County,8,Population 2020,7730
1065,AL,Hale County,3,Population 2020,14785
1067,AL,Henry County,3,Population 2020,17146
1069,AL,Houston County,3,Population 2020,107202
1071,AL,Jackson County,6,Population 2020,52579
1073,AL,Jefferson County,1,Population 2020,674721
1075,AL,Lamar County,8,Population 2020,13972
1077,AL,Lauderdale County,3,Population 2020,93564
1079,AL,Lawrence County,3,Population 2020,33073
1081,AL,Lee County,3,Population 2020,174241
1083,AL,Limestone County,2,Population 2020,103570
1085,AL,Lowndes County,2,Population 2020,10311
1087,AL,Macon County,6,Population 2020,19532
1089,AL,Madison County,2,Population 2020,388153
1091,AL,Marengo County,7,Population 2020,19323
1093,AL,Marion County,7,Population 2020,29341
1095,AL,Marshall County,4,Population 2020,97612
1097,AL,Mobile County,2,Population 2020,414809
1099,AL,Monroe County,7,Population 2020,19772
1101,AL,Montgomery County,2,Population 2020,228954
1103,AL,Morgan County,3,Population 2020,123421
1105,AL,Perry County,8,Population 2020,8511
1107,AL,Pickens County,3,Population 2020,19123
1109,AL,Pike County,6,Population 2020,33009
1111,AL,Randolph County,6,Population 2020,21967
